TAZ,CPA
15241,507
15242,507
15243,507
15244,507
15245,507
15246,507
15247,507
15248,507
15249,507
15401,508
15402,508
15403,508
15404,508
15405,508
15406,508
15407,508
15408,508
15409,508
15410,508
15411,508
15412,508
15413,508
15414,508
15415,508
15416,508
15417,508
15418,508
15419,508
15601,509
15602,509
15603,509
15604,509
15605,509
15606,509
15607,509
15608,509
15609,509
15610,509
15611,509
15612,509
15613,509
15614,509
15615,509
15616,509
15617,509
15618,509
15619,509
15620,509
15621,509
15622,509
15623,509
15624,509
15625,509
15626,509
15627,509
15628,509
15629,509
15630,509
15631,509
15632,509
15633,509
15634,509
15635,509
15636,509
15637,509
15801,510
15802,510
15803,510
15804,510
15805,510
15806,510
15807,510
15808,510
15809,510
15810,510
15811,510
15812,510
15813,510
15814,510
15815,510
15816,510
15817,510
15818,510
15819,510
15820,510
15821,510
15822,510
15823,510
15824,510
15825,510
15826,510
15827,510
15828,510
16001,511
16002,511
16003,511
16004,511
16005,511
16006,511
16007,511
16008,511
16009,511
16010,511
16011,511
16012,511
16013,511
16014,511
16015,511
16016,511
16017,511
16018,511
16019,511
16020,511
16021,511
16022,511
16023,511
16024,511
16025,511
16026,511
16027,511
16028,511
16029,511
16030,511
16031,511
16032,511
16033,511
16034,511
16035,511
16036,511
16037,511
16038,511
16039,511
16040,511
16041,511
16042,511
16043,511
16044,511
16045,511
16046,511
16047,511
16048,511
16201,512
16202,512
16203,512
16204,512
16205,512
16206,512
16207,512
16208,512
16209,512
16210,512
16211,512
16212,512
16213,512
16214,512
16215,512
16216,512
16217,512
16218,512
16219,512
16220,512
16221,512
16222,512
16223,512
16224,512
16225,512
16226,512
16227,512
16228,512
18001,601
18002,601
18003,601
18004,601
18006,601
18007,601
18008,601
18009,601
18010,601
18011,601
18012,601
18013,601
18014,601
18015,601
18016,601
18017,601
18018,601
18019,601
18020,601
18021,601
18022,601
18023,601
18024,601
18025,601
18026,601
18027,601
18028,601
18029,601
18030,601
18031,601
18032,601
18033,601
18034,601
18035,601
18036,601
18037,601
18038,601
18039,601
18040,601
18041,601
18201,602
18202,602
18203,602
18204,602
18205,602
18206,602
18207,602
18208,602
18209,602
18210,602
18211,602
18212,602
18213,602
18214,602
18215,602
18216,602
18217,602
18218,602
